ID,Which of the following courses have you taken previously? Check all that apply.,In which of the following programming language(s) are you comfortable? Check all that apply.,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?,"Why did you enroll in COGS 108? (It is *totally* ok if your answer is ""it was required"")"
356_wi20,NA,Python,"version control (i.e. git), GitHub, Python, tabular data, JSON, pandas (the package, not the animal)",6,8,"I think Data Science is an essential tool in the modern technical workplace, and I want to be literate in the concepts, tech, and terminology of DS"
357_wi20,NA,"Python, Java, MATLAB, R","data science, Python, p-value, pandas (the package, not the animal), A|B testing",7,4,Want to learn more about data science
359_wi20,COGS 9 w/ Prof Ellis,Python,"data science, pandas (the package, not the animal)",5,6,Data Science requirement
361_wi20,NA,"Python, Java","GitHub, Python",2,6,"It’s part of my major requirements, but I am also interested in programming (and potentially data science)"
362_wi20,COGS 18 w/ Prof Ellis,Python,none of the above,4,3,I want to excel in programming.
363_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn",6,9,Data science major elective
364_wi20,NA,"Python, Java, R","version control (i.e. git), GitHub, Python, JSON, p-value, A|B testing",6,9,It counted as an elective and I wanted to see if I liked data science
366_wi20,NA,Java,"GitHub, none of the above",8,7,It was required
367_wi20,COGS 18 w/ Prof Ellis,"Python, MATLAB","GitHub, Python, Jupyter Notebooks, p-value",2,6,NA
368_wi20,NA,None of these (I'm comfortable in another language),"version control (i.e. git), GitHub",6,8,I love to explore about data science
369_wi20,NA,None of these (I'm comfortable in another language),"GitHub, Python, pandas (the package, not the animal)",6,8,Required
371_wi20,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, pandas (the package, not the animal), sklearn",2,8,Cogs Minor
372_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",6,8,I wanted to learn more about practical applications of data science and want to use it for my data science major as an elective and for my cognitive science minor.
373_wi20,NA,"Python, Java, MATLAB","data science, GitHub, Python, Jupyter Notebooks, machine learning, p-value, pandas (the package, not the animal)",8,7,interest in practical data science project
374_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, GitHub, Python, Jupyter Notebooks, tabular data, p-value, pandas (the package, not the animal), sklearn",7,7,minor
375_wi20,COGS 18 w/ Prof Ellis,"Python, Java","Python, Jupyter Notebooks, JSON, machine learning",3,8,It was required.
376_wi20,NA,"Python, Java","GitHub, Python, Jupyter Notebooks, p-value, A|B testing",6,8,it was required
382_wi20,NA,Java,p-value,7,3,It was required and I heard Professor Ellis is awesome.
384_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, Python, Jupyter Notebooks, pandas (the package, not the animal)",6,10,I thought it would be fun and to review how to code
385_wi20,NA,Java,"data science, GitHub, Python, Jupyter Notebooks",8,8,NA
386_wi20,NA,"Python, Java","Python, Jupyter Notebooks, confounding, p-value, p-hacking, A|B testing",8,5,Requirement + I want to know how to do data analysis because it's a requirement in a lot of internships I've been looking at
387_wi20,NA,"Python, Java","version control (i.e. git), GitHub",6,8,It was required
388_wi20,NA,None of these (I'm not comfortable programming),none of the above,1,1,"slight interest, yet required"
389_wi20,NA,Java,none of the above,2,6,Project based class with friends
390_wi20,NA,None of these (I'm not comfortable programming),"version control (i.e. git), GitHub, Jupyter Notebooks, JSON",4,4,it was required
391_wi20,COGS 9 w/ Prof Ellis,"Python, MATLAB","data science, GitHub, Python, Jupyter Notebooks, machine learning, p-value, pandas (the package, not the animal), A|B testing",3,4,i am interested in data science and it is a major requirement
393_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",10,10,to build a data science portfolio
394_wi20,COGS 18 w/ Prof Ellis,Python,"GitHub, Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal)",7,6,It sounded interesting
395_wi20,COGS 18 w/ Prof Ellis,Python,"data science, GitHub, Python, Jupyter Notebooks, machine learning",7,6,I am interested in Data Science
397_wi20,NA,Java,GitHub,3,6,I heard it was a good CSE elective to take
398_wi20,COGS 9 w/ Prof Ellis,"Python, Java","data science, version control (i.e. git), Python, confounding, p-value, pandas (the package, not the animal), A|B testing",6,7,To continue my learning in the data science field
399_wi20,NA,MATLAB,"GitHub, machine learning, none of the above",6,3,I wanted to increase my programming skills and learn how to code in Python.
402_wi20,NA,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python, JSON, A|B testing",5,8,I wanted to learn more about Data Science and coding in Python.
404_wi20,COGS 9 w/ Prof Ellis,Python,"Python, Jupyter Notebooks, tabular data, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",5,5,"It's a course that satisfies major elective course, but I also have taken a similar course with the professor"
405_wi20,NA,Java,none of the above,5,3,it was required
407_wi20,COGS 9 w/ Prof Voytek (or someone else),Python,"data science, Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal), A|B testing",5,6,data science elective
408_wi20,NA,"Java, MATLAB","data science, confounding, p-value, geospatial analysis",6,6,It was required but I also wanted to try it to see what data science/stats is like.
412_wi20,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, JSON, machine learning",8,10,It was recommended by a friend who said it was interesting
413_wi20,COGS 9 w/ Prof Voytek (or someone else),Java,"data science, version control (i.e. git), GitHub, Python",1,9,As a CS elective and I want to get into data science more
415_wi20,NA,Java,"Jupyter Notebooks, confounding, p-value",9,8,I wanted to learn more about what data science actually is and it’s applications in the real world
416_wi20,NA,"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",10,10,high gpa average but also im too lazy to kaggle by myself and want friends that know ensemble learning and neural computation
417_wi20,NA,"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",5,10,Technical elective requirement of bioinformatics major
418_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning",10,10,For elective
421_wi20,NA,"Java, None of these (I'm comfortable in another language)","version control (i.e. git), GitHub",5,8,Technical Elective
422_wi20,NA,Java,p-value,7,8,Required course and to learn data science so for career purposes.
425_wi20,COGS 18 w/ Tom Donoghue,"Python, Java","data science, GitHub, Python, Jupyter Notebooks, machine learning, confounding, A|B testing",4,4,"My roommate is a data scientist. Correction: data science major*, but I can't get the man to stop bagging on Cog Sci, so I'm infiltrating his world."
426_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",9,10,It was offered as an elective.
428_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",7,8,I found interesting to learn dsc in other aspects like in cogs department.
428_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, GitHub, Python, Jupyter Notebooks, pandas (the package, not the animal)",7,8,Want to know data science more
429_wi20,COGS 9 w/ Prof Voytek (or someone else),Python,"data science, Python, Jupyter Notebooks, tabular data, geospatial analysis, pandas (the package, not the animal), sklearn",8,8,Major elective
430_wi20,NA,Java,"GitHub, Python, JSON, machine learning",8,10,"It was a requirement, but I really want to explore data science and a bit of python."
432_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB","data science, GitHub, Python, Jupyter Notebooks, machine learning, p-value",7,8,A lot of my friends were enrolled
433_wi20,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal)",6,9,Part of my Area of Studies for Warren and thought it was an interesting course
434_wi20,COGS 18 w/ Prof Ellis,Python,"data science, GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal), sklearn",4,4,Required
435_wi20,NA,"Python, Java","GitHub, Python, Jupyter Notebooks, JSON, machine learning",6,6,As a cs selective curse
435_wi20,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning",5,5,NA
436_wi20,COGS 18 w/ Prof Ellis,"Python, Java","machine learning, p-value",5,5,"It was required, I want to pursue a career in product management."
440_wi20,NA,"Python, Java, MATLAB","data science, GitHub, Python",7,9,"It was required, but I'm also incredibly interested in it's applications"
441_wi20,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal)",7,9,major requirement
442_wi20,COGS 9 w/ Prof Ellis,"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",6,8,I enrolled into COGS 108 cause it is an elective for my major
444_wi20,NA,"Python, Java","GitHub, Python, JSON",3,7,it is required
445_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, sklearn",7,9,ez A!
NA,NA,"Java, None of these (I'm comfortable in another language)",none of the above,3,8,Elective for major
NA,NA,None of these (I'm not comfortable programming),"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",8,4,I wanted to learn more about data science and how to apply programming skills for social good.
NA,NA,Java,"GitHub, Python, p-value",9,7,IT IS IN MY ELECTIVE COURSE LIST AND I AM LITTLE INTERESTED IN DATA SCIENCE
NA,COGS 18 w/ Prof Ellis,Python,"Python, Jupyter Notebooks",5,2,upper div requirement
NA,NA,Java,none of the above,4,7,it was required
NA,NA,"Python, Java","GitHub, Python, JSON, A|B testing",4,8,Not required (had other choices) but I wanted myself to be introduced to a data science course and COGS 108 seemed fun.
NA,COGS 18 w/ Prof Ellis,Python,"GitHub, Python, Jupyter Notebooks, p-value",10,3,It was required
NA,COGS 9 w/ Prof Voytek (or someone else),Python,"GitHub, Python, Jupyter Notebooks, JSON, pandas (the package, not the animal)",4,4,Required
NA,NA,"Python, Java","data science, GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, pandas (the package, not the animal)",9,4,"It was required but also very interested since it's very hands-on, which is the best way I learn"
NA,NA,"Java, MATLAB",none of the above,3,5,I am interested in data science.
NA,NA,"Python, Java, MATLAB, R","data science, GitHub, machine learning, sentiment analysis",5,10,Fulfilled both major and minor requirements
NA,NA,Java,"data science, version control (i.e. git), GitHub, machine learning, p-value",6,9,For a CSE Elective and to learn more about data science
NA,"COGS 9 w/ Prof Ellis, COGS 18 w/ Prof Ellis",Python,"GitHub, Python, Jupyter Notebooks, tabular data",6,6,Major elective
NA,NA,Java,"confounding, p-value",7,7,CSE elective
NA,NA,Java,GitHub,6,7,It's my elective course
NA,NA,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",8,10,Interested in projects
NA,NA,Java,"version control (i.e. git), GitHub, p-value",7,10,interest in data science
NA,NA,"Python, Java","version control (i.e. git), GitHub, Python, JSON",7,10,taking an elective
NA,NA,"Java, None of these (I'm comfortable in another language)","data science, machine learning",7,8,I think this would be an interesting course
NA,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal), sklearn",5,8,i want to learn data science and i don't think it will be too time consuming
NA,NA,Java,none of the above,5,7,Required
NA,NA,Java,"version control (i.e. git), GitHub",5,5,Would like to learn about what is data science all about
NA,NA,"Java, MATLAB, R","data science, version control (i.e. git), GitHub, p-value",6,9,"Because it looked like an easy, interesting, and fun elective class for my major (Computer Science)."
NA,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, machine learning",3,7,It looked interesting.
NA,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB, R","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal)",8,8,"im a data science major, and learning something practical would be nice rather than theoretical"
NA,NA,None of these (I'm not comfortable programming),none of the above,1,3,I heard it is a easy elective course.
NA,COGS 9 w/ Prof Voytek (or someone else),None of these (I'm not comfortable programming),none of the above,3,3,It was required but I also do really want to learn how to code better. Since I'm also graduating soon I'm interested in seeing my major in more of a real life setting with group collaborations.
NA,NA,"Java, MATLAB, R","p-value, none of the above",10,6,I want to learn the information being taught
NA,NA,Java,"version control (i.e. git), GitHub",3,8,For CSE elective
NA,NA,"Python, Java","version control (i.e. git), GitHub, Python",3,10,technical elective for CS major
NA,NA,Java,none of the above,5,6,interest in data science
NA,COGS 9 w/ Prof Ellis,"Python, Java, MATLAB","version control (i.e. git), Python, machine learning",5,7,NA
NA,COGS 9 w/ Prof Ellis,Python,"data science, Python, p-value",6,7,For more experience programming and actually doing a data science project
NA,COGS 9 w/ Prof Ellis,Java,"GitHub, Jupyter Notebooks, p-value, pandas (the package, not the animal), sklearn",8,9,technical elective
NA,COGS 9 w/ Prof Ellis,"Python, Java","data science, GitHub, Python, Jupyter Notebooks, sentiment analysis, pandas (the package, not the animal)",8,9,NA
NA,NA,Java,"version control (i.e. git), GitHub",4,6,Petitioned to replace one of my math class and seems cool
NA,COGS 9 w/ Prof Ellis,"Python, Java","data science, GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",7,5,elective
NA,NA,Java,none of the above,6,5,required
NA,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB, R","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, pandas (the package, not the animal), sklearn, A|B testing",8,8,elective
NA,NA,None of these (I'm comfortable in another language),"data science, machine learning",8,9,It’s required equired and I’m interested in cog Sci
NA,COGS 18 w/ Prof Ellis,Python,"GitHub, Python, Jupyter Notebooks, p-value",7,4,It was required
NA,COGS 9 w/ Prof Ellis,"Python, Java","data science, version control (i.e. git), Python, p-value",7,7,"It was required, but also met my area of interest. I would've taken the course even if it weren't required."
NA,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, pandas (the package, not the animal), sklearn",8,8,To learn more about the usage of python
NA,NA,"Python, Java, R","GitHub, p-value, none of the above",7,9,To have an introduction to data science and become more familiar with python
NA,NA,"Java, MATLAB","version control (i.e. git), GitHub",5,10,To learn Python while also getting a feeling for whether I'd enjoy Data Science as a minor
NA,NA,MATLAB,"GitHub, Python, Jupyter Notebooks",8,8,I'm interested in Data Science
NA,NA,"Python, Java, MATLAB","data science, GitHub, Python, Jupyter Notebooks, machine learning, pandas (the package, not the animal), sklearn",5,8,Based on my interests in data science.
NA,NA,"Python, Java","version control (i.e. git), GitHub, Python, JSON, machine learning, p-value, pandas (the package, not the animal)",7,10,"I heard this class was light on workload and since I never formally learned Python, I thought that this class would be a perfect fit to learn and work with Python."
NA,COGS 18 w/ Prof Ellis,"Python, Java, MATLAB","version control (i.e. git), confounding",5,5,Major Requirement
NA,NA,MATLAB,p-value,7,4,It was required
NA,NA,Java,"version control (i.e. git), GitHub, Python, p-value",8,7,I was personally interested in data science as a computer science major.
NA,COGS 9 w/ Prof Ellis,"Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal)",1,10,"It was required, but I also want to learn more about ML"
NA,NA,"Python, Java, MATLAB","data science, GitHub, Python, tabular data",4,8,technical elective
NA,COGS 18 w/ Prof Ellis,None of these (I'm not comfortable programming),"data science, GitHub, Python, Jupyter Notebooks",9,3,Requirement
NA,COGS 9 w/ Prof Ellis,"Python, Java, MATLAB","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",7,8,It was required
NA,NA,None of these (I'm comfortable in another language),"GitHub, Jupyter Notebooks",7,9,NA
NA,NA,"Java, MATLAB","GitHub, Python, JSON, machine learning, pandas (the package, not the animal), sklearn",5,7,Technical Elective
NA,NA,Python,Python,3,3,"It is required for my major (Technical Elective). Also, I heard it is a very interesting course."
NA,COGS 9 w/ Prof Ellis,Java,"version control (i.e. git), GitHub, p-value, p-hacking, A|B testing",5,9,techniqual support for CSE
NA,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, p-value, pandas (the package, not the animal), sklearn",7,8,topics seemed useful and relevant to my major
NA,COGS 9 w/ Prof Voytek (or someone else),Java,Jupyter Notebooks,6,6,major requirement
NA,COGS 18 w/ Tom Donoghue,Java,"data science, Jupyter Notebooks",6,6,It is required for my major.
NA,COGS 18 w/ Prof Ellis,"Python, Java","Python, none of the above",3,7,It was a requirement
NA,NA,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value",6,7,TO Learn more about data science
NA,COGS 18 w/ Tom Donoghue,Python,"Python, Jupyter Notebooks",3,6,required to take + interested in it
NA,NA,Python,"Python, Jupyter Notebooks",4,4,major required
NA,COGS 9 w/ Prof Voytek (or someone else),Python,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",8,10,Elective
NA,NA,Java,none of the above,8,8,it was required
NA,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",8,8,Upper elective
NA,NA,"Python, MATLAB","data science, GitHub, Python, Jupyter Notebooks, machine learning",8,8,to be good at Data analysis
NA,NA,None of these (I'm not comfortable programming),"none of the above, A|B testing",3,3,Major requirements
NA,NA,Java,Python,5,6,CSE elective
NA,NA,"Java, R","version control (i.e. git), GitHub, JSON, p-value",7,10,recommended
NA,NA,Python,Python,4,2,I heard a lot of good things about this course and also it is required for my major.
NA,COGS 18 w/ Prof Ellis,"Python, MATLAB",Jupyter Notebooks,5,3,Its required
NA,NA,"None of these (I'm comfortable in another language), None of these (I'm not comfortable programming)",none of the above,5,3,It is part of my COGS 108 major.
NA,NA,"Python, Java","GitHub, Python, JSON",7,10,I'm really interested with machine learning
